INDEX,DATE,TIME,SECONDS_SINCE_MIDNIGHT,TRIP_ID,DIR,SPEED,LAT,LONG,ALT,EXITS,ENTRANCES
2845,10/25/2010,11:18:53,40733,6,N,16.362028,41.378843,-73.960304,23.85894,0,0
2846,10/25/2010,11:18:58,40738,6,N,19.188501,41.379103,-73.960255,25.170301,0,0
2847,10/25/2010,11:19:03,40743,6,N,17.800352,41.37931,-73.960177,22.108631,0,0
2848,10/25/2010,11:19:08,40748,6,N,2.432856,41.379461,-73.960096,20.973263,0,0
2849,10/25/2010,11:19:12,40752,6,N,0.056527,41.379465,-73.96011,21.179087,0,0
2850,10/25/2010,11:19:18,40758,6,N,0.044423,41.379465,-73.96011,21.101702,0,0
2851,10/25/2010,11:19:23,40763,6,N,3.527802,41.379472,-73.960109,21.081127,0,0
2852,10/25/2010,11:19:27,40767,6,N,25.683779,41.379628,-73.960061,21.44367,0,0
2853,10/25/2010,11:19:33,40773,6,N,44.85593,41.380021,-73.959734,23.653492,0,0
2854,10/25/2010,11:19:38,40778,6,N,48.309029,41.380511,-73.959271,25.775909,0,0
2855,10/25/2010,11:19:43,40783,6,N,47.344501,41.381041,-73.958866,26.872211,0,0
2856,10/25/2010,11:19:48,40788,6,N,43.501808,41.381578,-73.958617,26.319265,0,0
2857,10/25/2010,11:19:53,40793,6,N,45.30233,41.382132,-73.958538,26.866631,0,0
2858,10/25/2010,11:19:58,40798,6,N,42.888607,41.382677,-73.958425,25.922003,0,0
2859,10/25/2010,11:20:03,40803,6,N,44.224983,41.383178,-73.958134,24.149036,0,0
2860,10/25/2010,11:20:08,40808,6,N,42.714611,41.383603,-73.957678,22.590553,0,0
2861,10/25/2010,11:20:13,40813,6,N,43.026985,41.384036,-73.957252,21.543844,0,0
2862,10/25/2010,11:20:18,40818,6,N,42.091019,41.384528,-73.956946,20.528154,0,0
2863,10/25/2010,11:20:23,40823,6,N,39.098579,41.384989,-73.9568,19.687094,0,0
2864,10/25/2010,11:20:28,40828,6,N,41.80463,41.385495,-73.956771,18.831055,0,0
2865,10/25/2010,11:20:33,40833,6,N,41.787498,41.385998,-73.956543,20.169092,0,0
2866,10/25/2010,11:20:38,40838,6,N,40.408203,41.386515,-73.956437,21.562038,1,0
2867,10/25/2010,11:20:43,40843,6,N,39.976395,41.386998,-73.956327,22.126041,0,0
2868,10/25/2010,11:20:48,40848,6,N,36.42067,41.387461,-73.956131,22.158667,0,0
2869,10/25/2010,11:20:53,40853,6,N,36.404495,41.387904,-73.956038,20.170301,0,0
2870,10/25/2010,11:20:58,40858,6,N,31.230961,41.38833,-73.955983,19.034967,0,0
2871,10/25/2010,11:21:03,40863,6,N,23.07937,41.388658,-73.955918,19.307884,0,0
2872,10/25/2010,11:21:08,40868,6,N,11.992806,41.388845,-73.95572,18.923113,0,0
2873,10/25/2010,11:21:12,40872,6,N,29.568008,41.388956,-73.955499,18.782257,0,0
2874,10/25/2010,11:21:18,40878,6,N,31.154669,41.389618,-73.955513,19.555582,0,0
2875,10/25/2010,11:21:23,40883,6,N,28.641806,41.390011,-73.955353,21.141811,0,0
2876,10/25/2010,11:21:27,40887,6,N,34.937386,41.390396,-73.9552,21.621529,0,0
2877,10/25/2010,11:21:33,40893,6,N,28.411297,41.390773,-73.954999,21.551657,0,1
2878,10/25/2010,11:21:38,40898,6,N,24.731285,41.391078,-73.954872,23.666788,0,0
2879,10/25/2010,11:21:43,40903,6,N,20.504501,41.391331,-73.954847,27.107265,0,0
2880,10/25/2010,11:21:48,40908,6,N,20.62352,41.391567,-73.954817,34.800041,0,0
2881,10/25/2010,11:21:53,40913,6,N,7.872078,41.391752,-73.954636,38.290348,0,0
2882,10/25/2010,11:21:58,40918,6,N,0.433945,41.391756,-73.954603,40.651119,0,0
2883,10/25/2010,11:22:03,40923,6,N,0.076106,41.391757,-73.954605,41.433701,0,0
2884,10/25/2010,11:22:08,40928,6,N,0.053631,41.391757,-73.954606,41.602844,0,0
2885,10/25/2010,11:22:13,40933,6,N,0.019694,41.391758,-73.954606,41.691399,0,0
2886,10/25/2010,11:22:18,40938,6,N,4.148585,41.391761,-73.954605,41.785713,0,0
2887,10/25/2010,11:22:23,40943,6,N,29.658272,41.391954,-73.954423,42.693249,0,0
2888,10/25/2010,11:22:28,40948,6,N,33.264538,41.392286,-73.954107,43.511356,0,0
2889,10/25/2010,11:22:33,40953,6,N,36.411156,41.39265,-73.953768,44.49987,0,0
2890,10/25/2010,11:22:38,40958,6,N,35.009216,41.393014,-73.953406,46.64772,0,0
2891,10/25/2010,11:22:43,40963,6,N,31.360559,41.393354,-73.953082,42.721458,0,0
2892,10/25/2010,11:22:48,40968,6,N,21.52136,41.393669,-73.952862,41.768051,0,0
2893,10/25/2010,11:22:53,40973,6,N,0.038527,41.393775,-73.952791,41.36237,0,0
2894,10/25/2010,11:22:57,40977,6,N,0.665576,41.393774,-73.952782,41.468933,0,0
2895,10/25/2010,11:23:03,40983,6,N,26.529911,41.39392,-73.9528,38.876968,0,0
2896,10/25/2010,11:23:08,40988,6,N,38.604797,41.394363,-73.952858,35.714943,0,0
2897,10/25/2010,11:23:12,40992,6,N,37.85112,41.394809,-73.953016,34.61021,0,0
2898,10/25/2010,11:23:18,40998,6,N,40.458424,41.395097,-73.953527,31.123575,0,0
2899,10/25/2010,11:23:23,41003,6,N,44.955025,41.395292,-73.954214,30.057705,0,0
2900,10/25/2010,11:23:28,41008,6,N,46.303154,41.395317,-73.954977,30.395823,0,0
2901,10/25/2010,11:23:33,41013,6,N,46.406673,41.395145,-73.95572,31.510681,0,0
2902,10/25/2010,11:23:38,41018,6,N,47.050076,41.394822,-73.956381,31.164694,0,0
2903,10/25/2010,11:23:43,41023,6,N,48.598045,41.394481,-73.956989,30.637907,0,0
2904,10/25/2010,11:23:48,41028,6,N,45.698463,41.394171,-73.957694,28.621559,0,0
2905,10/25/2010,11:23:53,41033,6,N,31.61046,41.393939,-73.958319,26.553915,0,0
2906,10/25/2010,11:23:58,41038,6,N,20.215294,41.393871,-73.958753,26.311871,0,0
2907,10/25/2010,11:24:03,41043,6,N,13.437904,41.393933,-73.959027,24.597513,0,0
2908,10/25/2010,11:24:08,41048,6,N,11.444528,41.39402,-73.959165,23.640022,0,0
